Name Company,Website,Twitter handle,Twitter URL,id
Kraken,https://www.kraken.com,@krakenfx,https://x.com/krakenfx,1399148563
NDAX (National Digital Asset Exchange),https://ndax.io,@ndaxio,https://x.com/ndaxio,942826012357795840
Shakepay,https://shakepay.com,@shakepay,https://x.com/shakepay,3460030275
Newton (BIGG),https://www.newton.co,@newton_crypto,https://x.com/newton_crypto,983900009576808448
Netcoins,https://www.netcoins.ca,@Netcoins,https://x.com/Netcoins,2542046377
VirgoCX,https://www.virgocx.ca,@VirgoCX,https://x.com/VirgoCX,1085619209286111232
CoinPayments,https://www.coinpayments.net,@CoinPaymentsNET,https://x.com/CoinPaymentsNET,1674504678
NetCents,https://www.net-cents.com,@NetCentsHQ,https://x.com/NetCentsHQ,3661484185
Bitgo,https://www.bitgo.com,@BitGo,https://x.com/BitGo,2294954370
Wealth Simple Crypto,https://www.wealthsimple.com/en-ca/,@Wealthsimple,https://x.com/Wealthsimple,2414521490
Bitcoin Well,bitcoinwell.com,@BitcoinWell,https://x.com/BitcoinWell,321130572
VersaVault (Versabank),versabank.com/digital-asset-custody,@VersaBank,https://x.com/VersaBank,710925421064429572
Knox Custody,knoxcustody.com,@KnoxCustody,https://x.com/KnoxCustody,1170062199676723200
Wealth Agile,https://www.wealthagile.com/,@wealthagile,https://x.com/wealthagile,1292302472673927169
HIVE Blockchain Technologies Ltd,hiveblockchain.com,@HIVEblockchain,https://x.com/HIVEblockchain,1719247289737207808
Bitfarms Ltd,bitfarms.com,@Bitfarms_io,https://x.com/Bitfarms_io,937852625084669952
Galaxy Digital Holdings Ltd,galaxydigital.io,@GalaxyDigitalHQ,https://x.com/GalaxyDigitalHQ,1549088642580316160
DMG Blockchain Solutions Inc.,dmgblockchain.com,@dmgblockchain,https://x.com/dmgblockchain,927618687615430656
Mogo,mogo.ca,@mogo,https://x.com/mogo,3686741
Nuvei Corporation,nuvei.com,@Nuvei,https://x.com/Nuvei,42709151
TerraZero Technologies Inc.,terrazero.com,@TerraZeroTech,https://x.com/TerraZeroTech,1458327265679327233
LocalCoin,localcoinatm.com,@LocalCoinATM,https://x.com/LocalCoinATM,837907431669792768
Hut 8 Corp,hut8.com,@Hut8Corp,https://x.com/Hut8Corp,936286246015418368
Neptune Digital Assets,neptunedigitalassets.com,@Neptune_DA,https://x.com/Neptune_DA,1313121405781803009
Bitaccess,bitaccess.ca,@Bitaccess,https://x.com/Bitaccess,2265486572
3iQ Corp.,3iq.ca,@3iq_corp,https://x.com/3iq_corp,956331082881748992
FRNT Financial,frnt.io,@FRNT_Financial,https://x.com/FRNT_Financial,1384559126840111104
Blockstream,blockstream.com,@Blockstream,https://x.com/Blockstream,2307692107
CryptoStar Corp,cryptostar.ca,@CryptoStarCorp,https://x.com/CryptoStarCorp,1207339743966425088
Bull Bitcoin,bullbitcoin.com,@BullBitcoin_,https://x.com/BullBitcoin_,2240058816
Crypto.com,crypto.com,@cryptocom,https://x.com/cryptocom,864347902029709314
Copper.co,copper.co,@CopperHQ,https://x.com/CopperHQ,977215039458430976
Strike Payments,strike.me,@Strike,https://x.com/Strike,1214622906749198337
Ramp Network,ramp.network,@RampNetwork,https://x.com/RampNetwork,989075443163783168
Maple Finance,maple.finance,@maplefinance,https://x.com/maplefinance,1164762427604389890
Coinbase Canada Inc.,https://www.coinbase.com/en-ca,@coinbase,https://x.com/coinbase,574032254
Uphold,https://uphold.com/en-eu,@UpholdInc,https://x.com/UpholdInc,2339878250
Satstreet,https://satstreet.com/,@Satstreet,https://x.com/Satstreet,1172211131819188224
Gemini,https://www.gemini.com/,@Gemini,https://x.com/Gemini,2815661158
