Name Company,Website,Twitter handle,Twitter URL,id
Coinbase,coinbase.com,@coinbase,https://x.com/coinbase,574032254
Kraken,kraken.com,@krakenfx,https://x.com/krakenfx,1399148563
Gemini,gemini.com,@Gemini,https://x.com/Gemini,2815661158
Bitstamp,bitstamp.net,@Bitstamp,https://x.com/Bitstamp,352518189
Crypto.com,crypto.com,@cryptocom,https://x.com/cryptocom,864347902029709314
BitGo,bitgo.com,@BitGo,https://x.com/BitGo,2294954370
Anchorage Digital,anchorage.com,@Anchorage,https://x.com/Anchorage,987190230204600320
BitPay,bitpay.com,@BitPay,https://x.com/BitPay,915465450
MoonPay,moonpay.com,@moonpay,https://x.com/moonpay,1024699964071522305
Circle,circle.com,@circle,https://x.com/circle,2151686839
Ledger,ledger.com,@Ledger,https://x.com/Ledger,2652239532
Paxos,paxos.com,@PaxosGlobal,https://x.com/PaxosGlobal,1648408070588882944
Bakkt,bakkt.com,@Bakkt,https://x.com/Bakkt,1025229076339060736
Bitso,bitso.com,@Bitso,https://x.com/Bitso,2241683586
Luno,luno.com,@LunoGlobal,https://x.com/LunoGlobal,1274469684
Bitpanda,bitpanda.com,@Bitpanda_Global,https://x.com/Bitpanda_Global,2425772784
KuCoin,kucoin.com,@kucoincom,https://x.com/kucoincom,910110294625492992
Bybit,bybit.com,@Bybit_Official,https://x.com/Bybit_Official,999947328621395968
OKX,okx.com,@OKX,https://x.com/OKX,867617849208037377
CoinList,coinlist.co,@CoinList,https://x.com/CoinList,866047997456658434
ZebPay,zebpay.com,@ZebPay,https://x.com/ZebPay,2705856996
Deribit,deribit.com,@DeribitExchange,https://x.com/DeribitExchange,3082532355
BitFlyer,bitflyer.com,@bitFlyer,https://x.com/bitFlyer,2291828892
Huobi,huobi.com,@HuobiGlobal,https://x.com/HuobiGlobal,1546055871955800065
Gate.io,gate.io,@gate_io,https://x.com/gate_io,912539725071777792
Independent Reserve,independentreserve.com,@IndReserve,https://x.com/IndReserve,1179957860232396800
Mercado Bitcoin,mercadobitcoin.com.br,@mercadobitcoin,https://x.com/mercadobitcoin,321345004
Rain,rain.bh,@rainfinancial,https://x.com/rainfinancial,1523055305382371334
VALR,valr.com,@VALRdotcom,https://x.com/VALRdotcom,999210823255019521
CoinJar,coinjar.com,@coinjar,https://x.com/coinjar,120588744
Coins.ph,coins.ph,@coinsph,https://x.com/coinsph,2323183034
CoinDCX,coindcx.com,@CoinDCX,https://x.com/CoinDCX,968118294174666752
WazirX,wazirx.com,@WazirXIndia,https://x.com/WazirXIndia,955744720092835841
BitMEX,bitmex.com,@BitMEX,https://x.com/BitMEX,2439495535
Bittrex Global,bittrex.com,@BittrexGlobal,https://x.com/BittrexGlobal,1027584103825137664
Bitfinex,bitfinex.com,@bitfinex,https://x.com/bitfinex,886832413
Swyftx,swyftx.com.au,@SwyftxAU,https://x.com/SwyftxAU,946379850826125313
BTC Markets,btcmarkets.net,@BTCMarkets,https://x.com/BTCMarkets,1672078591
Coinmetro,coinmetro.com,@CoinMetro,https://x.com/CoinMetro,918922778073620481
CEX.IO,cex.io,@cex_io,https://x.com/cex_io,1920515281
Bitstocks,bitstocks.com,@Bitstocks,https://x.com/Bitstocks,2253516073
BitOasis,bitoasis.net,@bitoasis,https://x.com/bitoasis,2396594216
Coinsquare,coinsquare.com,@Coinsquare,https://x.com/Coinsquare,2316553800
Bitbuy,bitbuy.ca,@BitbuyCanada,https://x.com/BitbuyCanada,
Netcoins,netcoins.ca,@NetcoinsCanada,https://x.com/NetcoinsCanada,
BIGG Digital Assets,biggdigitalassets.com,@BIGG_DigitalA,https://x.com/BIGG_DigitalA,
Bull Bitcoin,bullbitcoin.com,@BullBitcoin_,https://x.com/BullBitcoin_,2240058816
Coinbase Custody,custody.coinbase.com,@CoinbaseCustody,https://x.com/CoinbaseCustody,
Fidelity Digital Assets,fidelitydigitalassets.com,@FidelityAssets,https://x.com/FidelityAssets,
Gemini Custody,gemini.com/custody,@Gemini,https://x.com/Gemini,2815661158
Copper.co,copper.co,@CopperHQ,https://x.com/CopperHQ,977215039458430976
Kingdom Trust,kingdomtrust.com,@KingdomTrust,https://x.com/KingdomTrust,240813521
NYDIG,nydig.com,@NYDIG,https://x.com/NYDIG,1349478596591681536
Prime Trust,primetrust.com,@PrimeTrustCo,https://x.com/PrimeTrustCo,1006580717776613378
BitGo Trust,bitgo.com,@BitGo,https://x.com/BitGo,2294954370
Paxos Trust,paxos.com,@PaxosGlobal,https://x.com/PaxosGlobal,1648408070588882944
Alchemy Pay,alchemypay.com,@AlchemyPay,https://x.com/AlchemyPay,1019869949039448065
Banxa,banxa.com,@banxa,https://x.com/banxa,36291226
Simplex,simplex.com,@SimplexCC,https://x.com/SimplexCC,2350268755
CoinGate,coingate.com,@CoinGatecom,https://x.com/CoinGatecom,2278063088
Ramp Network,ramp.network,@RampNetwork,https://x.com/RampNetwork,989075443163783168
Mercuryo,mercuryo.io,@Mercuryo_io,https://x.com/Mercuryo_io,1072746424285171712
Bithumb,bithumb.com,@BithumbOfficial,https://x.com/BithumbOfficial,908496633196814337
Coincheck,coincheck.com,@coincheckjp,https://x.com/coincheckjp,2748668689
Bitbank,bitbank.cc,@bitbank_inc,https://x.com/bitbank_inc,3278015138
Korbit,korbit.co.kr,@korbit,https://x.com/korbit,35868308
Coinone,coinone.co.kr,@CoinoneOfficial,https://x.com/CoinoneOfficial,3995463737
ProBit Global,probit.com,@ProBit_Exchange,https://x.com/ProBit_Exchange,1012582092612382720
Bitvavo,bitvavo.com,@Bitvavo,https://x.com/Bitvavo,917717264052490241
CoinCorner,coincorner.com,@CoinCorner,https://x.com/CoinCorner,2561073732
Latoken,latoken.com,@latokens,https://x.com/latokens,
Coinmama,coinmama.com,@Coinmama,https://x.com/Coinmama,968031532467269632
Galaxy Digital,galaxydigital.io,@GalaxyDigitalHQ,https://x.com/GalaxyDigitalHQ,1549088642580316160
Argo Blockchain,argoblockchain.com,@ArgoBlockchain,https://x.com/ArgoBlockchain,936328350036930560
Hut 8 Corp,hut8.com,@Hut8Corp,https://x.com/Hut8Corp,936286246015418368
Hex Trust,hextrust.com,@Hex_Trust,https://x.com/Hex_Trust,1014482303131635712
Komainu,komainu.com,@KomainuCustody,https://x.com/KomainuCustody,1016004061471141888
Taurus,taurushq.com,@Taurus_HD,https://x.com/Taurus_HD,728413610880454657
Uphold,uphold.com,@UpholdInc,https://x.com/UpholdInc,2339878250
SpicePay,spicepay.com,@SpicePay,https://x.com/SpicePay,1376362810326745089
NOWPayments,nowpayments.io,@NOWpayments_io,https://x.com/NOWpayments_io,1132945518961807360
Request Network,request.network,@RequestNetwork,https://x.com/RequestNetwork,888343534083944448
Utrust,utrust.com,@UTRUST,https://x.com/UTRUST,1665281650685509633
