Person,Twitter handle,Twitter URL,id
0xfoobar,@0xfoobar,https://x.com/0xfoobar,1356386110847377408
beaniemaxi,@beaniemaxi,https://x.com/beaniemaxi,1351139954525696005
ZssBecker,@ZssBecker,https://x.com/ZssBecker,1243470638477697024
@elliotrades,@elliotrades,https://x.com/elliotrades,948736680554409984
@JRNYcrypto,@JRNYcrypto,https://x.com/JRNYcrypto,952087880918228992
@KoroushAK,@KoroushAK,https://x.com/KoroushAK,1392927426
@CryptoDonAlt,@CryptoDonAlt,https://x.com/CryptoDonAlt,878219545785372673
@CryptoKaleo,@CryptoKaleo,https://x.com/CryptoKaleo,906234475604037637
@Tradermayne,@Tradermayne,https://x.com/Tradermayne,2446024556
@AltcoinPsycho,@AltcoinPsycho,https://x.com/AltcoinPsycho,942999039192186882
@pierre_crypt0,@pierre_crypt0,https://x.com/pierre_crypt0,590134700
@Yodaskk,@Yodaskk,https://x.com/Yodaskk,708589549564370944
@GalleonCrypto,@GalleonCrypto,https://x.com/GalleonCrypto,1020031876122251265
@NickDGarcia,@NickDGarcia,https://x.com/NickDGarcia,1344013885096009728
@Pentosh1,@Pentosh1,https://x.com/Pentosh1,1138993163706753029
@CryptoCred,@CryptoCred,https://x.com/CryptoCred,899558268795842561
@Nebraskangooner,@Nebraskangooner,https://x.com/Nebraskangooner,3696215239
@Tom__Capital,@Tom__Capital,https://x.com/Tom__Capital,1462275115505180674
@abetrade,@abetrade,https://x.com/abetrade,1073915070961328128
@RaoulGMI,@RaoulGMI,https://x.com/RaoulGMI,2453385626
@BittelJulien,@BittelJulien,https://x.com/BittelJulien,747426392472686592
@AndreasSteno,@AndreasSteno,https://x.com/AndreasSteno,851431642950402048
@santiagoroel,@santiagoroel,https://x.com/santiagoroel,737132550
@sassal0x,@sassal0x,https://x.com/sassal0x,313724502
@Arthur_0x,@Arthur_0x,https://x.com/Arthur_0x,1357451976
@EleanorTerrett,@EleanorTerrett,https://x.com/EleanorTerrett,4182894076
@solidintel_x,@solidintel_x,https://x.com/solidintel_x,1404421873169993730
@carrynointerest,@carrynointerest,https://x.com/carrynointerest,1406041525683949571
@Jason,@Jason,https://x.com/Jason,3840
@Tyler_Did_It,@Tyler_Did_It,https://x.com/Tyler_Did_It,40134343
@punk9059,@punk9059,https://x.com/punk9059,1449164448321605632
@realcytro,@realcytro,https://x.com/realcytro,
@DepecheNode_,@DepecheNode_,https://x.com/DepecheNode_,1370447064878878721
@justintrimble,@justintrimble,https://x.com/justintrimble,16221965
@HighCoinviction,@HighCoinviction,https://x.com/HighCoinviction,1268013291944771584
@kmoney_69,@kmoney_69,https://x.com/kmoney_69,1404603419101306881
@VivekVentures,@VivekVentures,https://x.com/VivekVentures,382988030
@0xPrismatic,@0xPrismatic,https://x.com/0xPrismatic,1299523632868110338
@TrustlessState,@TrustlessState,https://x.com/TrustlessState,981208355115974656
@Cryptoyieldinfo,@Cryptoyieldinfo,https://x.com/Cryptoyieldinfo,1241561583450390528
@hasufl,@hasufl,https://x.com/hasufl,566534886
@defi_mochi,@defi_mochi,https://x.com/defi_mochi,1575414573019979776
@0xKofi,@0xKofi,https://x.com/0xKofi,1367393425331544070
@DefiantNews,@DefiantNews,https://x.com/DefiantNews,1237544865216507906
@growthepie_eth,@growthepie_eth,https://x.com/growthepie_eth,1636391104689094656
@TheBlock__,@TheBlock__,https://x.com/TheBlock__,963767159536209921
@blockworksres,@blockworksres,https://x.com/blockworksres,1522646662895783941
@ryanyoon_eth,@ryanyoon_eth,https://x.com/ryanyoon_eth,1484474196038090754
@p_petertherock,@p_petertherock,https://x.com/p_petertherock,963261777503899650
@cryptoskullx,@cryptoskullx,https://x.com/cryptoskullx,1454559987276124168
@EricCryptoman,@EricCryptoman,https://x.com/EricCryptoman,826381583489855490
